num,coordinate
73,"0.040*""previou"" + 0.035*""total"" + 0.032*""swingi"" + 0.031*""left"" + 0.023*""dd"" + 0.018*""spend"" + 0.015*""review"" + 0.015*""upcom"" + 0.015*""bad"" + 0.014*""stain"""
74,"0.025*""incred"" + 0.018*""let"" + 0.017*""maev"" + 0.015*""dress"" + 0.015*""accentu"" + 0.013*""coral"" + 0.013*""xxsp"" + 0.012*""gap"" + 0.011*""34dd"" + 0.010*""size"""
75,"0.043*""xx"" + 0.032*""115"" + 0.026*""xs"" + 0.023*""mail"" + 0.023*""edg"" + 0.019*""lb"" + 0.018*""turquois"" + 0.017*""petit"" + 0.017*""lighter"" + 0.015*""turn"""
76,"0.044*""6."" + 0.036*""pregnant"" + 0.030*""thinner"" + 0.025*""behind"" + 0.024*""winner"" + 0.021*""fashion"" + 0.020*""bewar"" + 0.019*""read"" + 0.017*""ok."" + 0.017*""rear"""
77,"0.032*""fan"" + 0.029*""allow"" + 0.028*""far"" + 0.028*""complement"" + 0.027*""plaid"" + 0.027*""quickli"" + 0.022*""alway"" + 0.019*""turtleneck"" + 0.018*""taup"" + 0.016*""self"""
78,"0.027*""send"" + 0.022*""sweatshirt"" + 0.020*""skin"" + 0.020*""cardigan"" + 0.017*""cooler"" + 0.016*""creat"" + 0.016*""women"" + 0.015*""back"" + 0.014*""sweater"" + 0.014*""neg"""
79,"0.035*""sadli"" + 0.028*""ran"" + 0.018*""home"" + 0.016*""multipl"" + 0.016*""mid"" + 0.013*""section"" + 0.013*""return"" + 0.013*""larg"" + 0.011*""way"" + 0.010*""medium"""
80,"0.031*""complet"" + 0.030*""spot"" + 0.029*""lose"" + 0.029*""camisol"" + 0.029*""thread"" + 0.028*""flaw"" + 0.026*""seen"" + 0.017*""inseam"" + 0.016*""jumper"" + 0.015*""includ"""
81,"0.026*""construct"" + 0.026*""wo"" + 0.023*""round"" + 0.020*""somewhat"" + 0.017*""regret"" + 0.017*""today"" + 0.014*""disagre"" + 0.014*""muscular"" + 0.014*"".."" + 0.013*""year"""
82,"0.023*""although"" + 0.019*""rais"" + 0.018*""reorder"" + 0.017*""expos"" + 0.016*""flare"" + 0.015*""128"" + 0.014*""arm"" + 0.014*""return"" + 0.013*""smaller"" + 0.012*""size"""
83,"0.039*""exchang"" + 0.029*""blazer"" + 0.022*""silki"" + 0.019*""135lb"" + 0.018*""bother"" + 0.017*""small"" + 0.016*""roomi"" + 0.016*""size"" + 0.013*""huge"" + 0.012*""order"""
84,"0.018*""movement"" + 0.014*""gape"" + 0.013*""bow"" + 0.012*""modest"" + 0.011*""earli"" + 0.010*""skim"" + 0.010*""singl"" + 0.010*""dress"" + 0.009*""top"" + 0.008*""poorli"""
85,"0.050*""recommend"" + 0.040*""highli"" + 0.023*""belt"" + 0.020*""dress"" + 0.018*""silhouett"" + 0.016*""comfort"" + 0.014*""great"" + 0.013*""soft"" + 0.012*""love"" + 0.012*""fit"""
86,"0.020*""goe"" + 0.019*""shade"" + 0.017*""structur"" + 0.017*""outfit"" + 0.016*""great"" + 0.015*""love"" + 0.014*""casual"" + 0.011*""grey"" + 0.010*""dress"" + 0.010*""look"""
87,"0.057*""coat"" + 0.047*""excel"" + 0.034*""els"" + 0.032*""sweet"" + 0.032*""state"" + 0.026*""5'10"" + 0.019*""discount"" + 0.019*""everywher"" + 0.019*""search"" + 0.016*""150"""
88,"0.050*""throw"" + 0.044*""easi"" + 0.027*""portion"" + 0.026*""busi"" + 0.024*""armpit"" + 0.022*""tighter"" + 0.020*""oliv"" + 0.019*""readi"" + 0.019*""breezi"" + 0.018*""current"""
89,"0.041*""pilcro"" + 0.037*""fabul"" + 0.034*""version"" + 0.020*""pair"" + 0.020*""smell"" + 0.019*""jean"" + 0.016*""pant"" + 0.015*""sophist"" + 0.015*""heat"" + 0.014*""snap"""
90,"0.040*""real"" + 0.039*""orang"" + 0.031*""life"" + 0.020*""final"" + 0.017*""crotch"" + 0.016*""cowl"" + 0.016*""drop"" + 0.016*""rose"" + 0.015*""posit"" + 0.012*""watch"""
91,"0.062*""awesom"" + 0.048*""shapeless"" + 0.033*""130"" + 0.022*""drapey"" + 0.021*""item"" + 0.020*""on-lin"" + 0.019*""certainli"" + 0.018*""mostli"" + 0.018*""yet"" + 0.014*"".i"""
92,"0.051*""curv"" + 0.049*""build"" + 0.048*""athlet"" + 0.038*""clingi"" + 0.037*""140"" + 0.032*""sit"" + 0.028*""s."" + 0.026*""leav"" + 0.022*""unlik"" + 0.019*""shame"""
93,"0.034*""sheer"" + 0.026*""underneath"" + 0.026*""cami"" + 0.019*""money"" + 0.019*""tank"" + 0.016*""thin"" + 0.015*""top"" + 0.014*""neutral"" + 0.014*""white"" + 0.014*""nude"""
94,"0.050*""ton"" + 0.032*""anyon"" + 0.032*""ye"" + 0.032*""oh"" + 0.031*""fantast"" + 0.027*""cinch"" + 0.027*""averag"" + 0.027*""ladi"" + 0.022*""cross"" + 0.020*""opt"""
95,"0.033*""daughter"" + 0.031*""straight"" + 0.028*""descript"" + 0.024*""4."" + 0.022*""woman"" + 0.021*""wow"" + 0.021*""polyest"" + 0.021*""gift"" + 0.019*""2"" + 0.019*""birthday"""
96,"0.066*""linen"" + 0.056*""poncho"" + 0.053*""point"" + 0.045*""chanc"" + 0.043*""go-to"" + 0.041*""tshirt"" + 0.041*""set"" + 0.037*""prefer"" + 0.036*""took"" + 0.031*""apart"""
97,"0.029*""week"" + 0.024*""caus"" + 0.021*""okay"" + 0.020*""cost"" + 0.018*""serious"" + 0.017*""fix"" + 0.016*""hold"" + 0.016*""40"" + 0.016*""whim"" + 0.012*""summeri"""
98,"0.036*""ruffl"" + 0.026*""sent"" + 0.025*""immedi"" + 0.024*""etc"" + 0.024*""second"" + 0.021*""swallow"" + 0.017*""imag"" + 0.013*""upon"" + 0.013*""strike"" + 0.013*""delight"""
99,"0.046*""justic"" + 0.037*""see-through"" + 0.034*""hung"" + 0.032*""pic"" + 0.029*""truli"" + 0.025*""cloth"" + 0.022*""hemlin"" + 0.021*""5'11"" + 0.021*""boxi"" + 0.018*""chambray"""
