num,coordinate
59,"0.267*""big"" + 0.249*""--"" + -0.213*""return"" + 0.195*""way"" + -0.179*""small"" + -0.166*""comfi"" + 0.165*""perfectli"" + -0.154*""wish"" + 0.154*""cute"" + 0.149*""work"""
60,"-0.282*""casual"" + -0.208*""bit"" + 0.207*""tee"" + 0.201*""littl"" + 0.193*""piec"" + 0.175*""want"" + 0.170*""fall"" + -0.166*""worn"" + 0.159*""love"" + -0.154*""pretti"""
61,"-0.273*""one"" + -0.195*""cut"" + 0.195*""review"" + 0.194*""good"" + 0.192*""would"" + -0.187*""littl"" + -0.180*""get"" + -0.172*""go"" + 0.171*""design"" + -0.144*""blous"""
62,"-0.255*""feel"" + -0.219*""petit"" + 0.178*""blous"" + 0.168*""soft"" + -0.158*""bought"" + 0.156*""worn"" + -0.155*""summer"" + -0.152*""super"" + 0.151*""could"" + -0.148*""detail"""
63,"0.235*""black"" + -0.200*""tee"" + 0.196*""even"" + 0.174*""get"" + -0.173*""design"" + 0.169*""detail"" + 0.169*""--"" + 0.151*""style"" + -0.146*""comfi"" + -0.145*""return"""
64,"-0.265*""shoulder"" + -0.253*""worn"" + -0.251*""fall"" + -0.221*""style"" + -0.188*""super"" + 0.184*""feel"" + -0.165*""piec"" + 0.145*""length"" + 0.143*""cute"" + 0.134*""work"""
65,"-0.345*""design"" + 0.290*""detail"" + 0.246*""got"" + 0.216*""return"" + 0.161*""'m"" + 0.158*""one"" + -0.154*""review"" + 0.140*""could"" + -0.135*""white"" + 0.135*""worn"""
66,"-0.291*""get"" + 0.222*""bit"" + -0.222*""review"" + 0.193*""mani"" + -0.153*""waist"" + 0.149*""pictur"" + 0.136*""go"" + -0.132*""time"" + -0.132*""purchas"" + 0.130*""buy"""
67,"-0.231*""length"" + 0.202*""long"" + 0.182*""summer"" + -0.178*""big"" + -0.163*""get"" + -0.158*""lot"" + 0.145*""cut"" + -0.141*""fall"" + 0.139*""review"" + -0.137*""right"""
68,"-0.274*""feel"" + 0.224*""detail"" + -0.200*""fall"" + 0.176*""big"" + -0.159*""even"" + 0.156*""easi"" + 0.156*""arm"" + -0.153*""long"" + -0.152*""littl"" + 0.150*""shape"""
69,"-0.257*""feel"" + -0.227*""tee"" + 0.202*""button"" + 0.195*""return"" + 0.179*""--"" + 0.169*""look"" + -0.157*""way"" + -0.155*""love"" + -0.148*""waist"" + 0.143*""one"""
70,"0.246*""bit"" + 0.234*""get"" + -0.202*""comfi"" + 0.196*""return"" + -0.164*""medium"" + -0.149*""would"" + -0.141*""black"" + -0.135*""big"" + 0.123*""blue"" + 0.121*""definit"""
71,"-0.217*""want"" + 0.204*""wish"" + 0.186*""even"" + 0.177*""cut"" + -0.172*""good"" + 0.165*""review"" + 0.163*""tee"" + 0.158*""button"" + 0.157*""high"" + -0.145*""worn"""
72,"-0.232*""pair"" + 0.228*""--"" + 0.215*""bit"" + 0.185*""leg"" + 0.185*""shoulder"" + -0.155*""go"" + -0.147*""casual"" + 0.145*""work"" + -0.137*""piec"" + -0.136*""sleev"""
73,"0.259*""bit"" + -0.249*""pictur"" + 0.196*""loos"" + 0.193*""--"" + -0.187*""go"" + 0.174*""way"" + 0.159*""arm"" + -0.146*""right"" + 0.139*""print"" + -0.137*""definit"""
74,"-0.318*""bottom"" + 0.189*""pictur"" + 0.171*""one"" + 0.165*""perfectli"" + -0.158*""enough"" + -0.142*""xs"" + 0.138*""shoulder"" + 0.137*""way"" + -0.135*""make"" + 0.131*""flatter"""
75,"0.244*""bit"" + 0.240*""casual"" + -0.234*""definit"" + 0.216*""--"" + -0.185*""arm"" + -0.183*""work"" + 0.146*""much"" + -0.138*""perfectli"" + -0.138*""white"" + 0.137*""chest"""
76,"0.254*""perfectli"" + 0.207*""fall"" + -0.204*""piec"" + 0.182*""like"" + -0.177*""still"" + -0.172*""easi"" + 0.169*""fit"" + -0.165*""--"" + -0.152*""pictur"" + -0.151*""review"""
77,"0.293*""right"" + 0.262*""bodi"" + -0.229*""button"" + -0.184*""worn"" + -0.184*""super"" + -0.174*""like"" + -0.145*""length"" + 0.143*""arm"" + 0.134*""look"" + -0.127*""coat"""
78,"0.226*""--"" + -0.225*""pair"" + -0.207*""still"" + -0.196*""want"" + 0.173*""sleev"" + 0.158*""comfi"" + -0.156*""enough"" + 0.154*""easi"" + -0.131*""definit"" + -0.127*""right"""
79,"-0.276*""way"" + 0.224*""shoulder"" + -0.172*""pair"" + -0.157*""petit"" + 0.148*""print"" + 0.147*""piec"" + -0.143*""right"" + -0.141*""leg"" + -0.131*""tee"" + -0.129*""thin"""
80,"-0.314*""button"" + -0.211*""coat"" + 0.210*""perfectli"" + -0.188*""white"" + 0.185*""--"" + 0.174*""tee"" + -0.155*""much"" + 0.152*""pair"" + 0.136*""absolut"" + 0.131*""go"""
81,"-0.280*""comfi"" + 0.247*""cut"" + 0.210*""casual"" + 0.191*""wear"" + 0.186*""day"" + 0.183*""right"" + 0.147*""wish"" + 0.146*""super"" + -0.143*""big"" + 0.140*""black"""
82,"-0.221*""comfi"" + -0.184*""want"" + 0.181*""person"" + 0.154*""super"" + 0.153*""design"" + -0.149*""look"" + 0.141*""leg"" + 0.134*""would"" + 0.130*""soft"" + 0.128*""return"""
83,"-0.267*""'m"" + -0.205*""still"" + -0.186*""bra"" + 0.176*""bit"" + -0.166*""lot"" + 0.160*""blue"" + -0.159*""summer"" + 0.146*""wish"" + 0.132*""pair"" + 0.128*""day"""
84,"-0.238*""pictur"" + 0.234*""casual"" + -0.170*""get"" + 0.155*""fall"" + 0.151*""could"" + 0.137*""leg"" + 0.134*""super"" + -0.132*""bit"" + -0.130*""enough"" + -0.127*""black"""
85,"-0.231*""blue"" + -0.181*""bit"" + 0.172*""loos"" + -0.154*""perfectli"" + 0.153*""shoulder"" + -0.151*""piec"" + 0.151*""pair"" + 0.147*""black"" + 0.146*""2"" + -0.136*""pattern"""
86,"0.236*""way"" + -0.182*""tank"" + 0.178*""bottom"" + -0.175*""'m"" + 0.173*""normal"" + -0.148*""thin"" + 0.143*""would"" + 0.129*""differ"" + -0.129*""usual"" + -0.127*""waist"""
87,"-0.233*""black"" + 0.207*""normal"" + 0.189*""thin"" + -0.189*""easi"" + 0.188*""--"" + 0.166*""enough"" + 0.138*""white"" + -0.132*""big"" + 0.123*""arm"" + -0.122*""perfectli"""
88,"-0.254*""even"" + 0.205*""shape"" + 0.203*""think"" + 0.197*""person"" + 0.181*""definit"" + -0.157*""way"" + 0.148*""big"" + -0.147*""blue"" + 0.145*""chest"" + 0.141*""shoulder"""
89,"-0.241*""coat"" + 0.237*""shape"" + -0.197*""definit"" + -0.180*""bottom"" + -0.177*""'m"" + 0.166*""detail"" + -0.166*""go"" + 0.138*""versatil"" + -0.134*""much"" + 0.132*""way"""
